LSOA21CD,AHAH_Index_Score,AHAH_Index_Rank,AHAH_Index_Percentile
E01000311,34.5644,38911,92
E01000312,21.9357,25274,60
E01000313,30.4353,36307,86
E01000314,36.9792,39950,94
E01000315,26.0344,31843,75
E01000316,33.5696,38408,91
E01000317,34.395,38839,92
E01000318,34.6514,38943,92
E01000319,32.2365,37593,89
E01000320,27.0878,33171,78
E01000321,41.7034,41283,97
E01000322,23.7918,28604,68
E01000323,44.7751,41787,98
E01000324,24.6779,29954,71
E01000325,24.0133,28936,68
E01000326,20.4905,22307,53
E01000327,25.8112,31573,75
E01000328,21.6981,24769,59
E01000329,30.891,36657,86
E01000330,35.0817,39153,92
E01000331,19.9788,21220,50
E01000332,25.7735,31520,74
E01000333,37.9702,40284,95
E01000334,36.3928,39731,94
E01000335,28.1222,34267,81
E01000336,32.5777,37838,89
E01000337,30.8991,36665,86
E01000338,30.3491,36232,85
E01000339,22.4013,26125,62
E01000340,25.839,31612,75
E01000341,27.5682,33713,80
E01000342,23.4974,28091,66
E01000343,29.5966,35671,84
E01000344,27.6997,33849,80
E01000345,20.982,23339,55
E01000346,20.596,22520,53
E01000347,26.0596,31879,75
E01000348,20.2955,21864,52
E01000349,18.3002,17452,41
E01000350,20.4547,22233,53
E01000351,19.8527,20953,50
E01000352,24.4896,29662,70
E01000353,31.5076,37107,88
E01000354,28.1344,34281,81
E01000355,29.9698,35963,85
E01000356,32.9935,38074,90
E01000357,23.0074,27186,64
E01000358,28.1649,34307,81
E01000359,28.9617,35108,83
E01000360,40.4229,41010,97
E01000361,20.5676,22461,53
E01000362,44.7563,41784,98
E01000363,20.6312,22599,53
E01000364,16.9838,14245,34
E01000365,27.4156,33549,79
E01000366,37.4267,40100,95
E01000367,18.7108,18405,44
E01000368,20.8166,22976,54
E01000369,27.8507,33995,80
E01000370,27.0466,33117,78
E01000371,22.1458,25652,61
E01000372,18.8102,18644,44
E01000373,20.5891,22509,53
E01000374,23.9109,28779,68
E01000375,25.6535,31356,74
E01000376,23.2384,27629,65
E01000377,23.5426,28163,67
E01000379,22.2693,25886,61
E01000380,22.4117,26145,62
E01000381,20.3079,21884,52
E01000382,19.0483,19174,45
E01000383,18.3703,17620,42
E01000384,19.1967,19519,46
E01000385,23.0346,27246,64
E01000386,19.45,20067,48
E01000387,23.8697,28729,68
E01000388,24.9851,30395,72
E01000389,18.2884,17426,41
E01000390,19.5242,20236,48
E01000391,22.4799,26268,62
E01000392,37.983,40289,95
E01000393,26.9534,33008,78
E01000394,25.1138,30615,72
E01000395,33.1505,38178,90
E01000396,26.5875,32542,77
E01000398,29.8222,35843,85
E01000399,24.5244,29717,70
E01000400,30.693,36495,86
E01000401,28.2648,34418,81
E01000402,23.6823,28417,67
E01000403,25.4305,31054,73
E01000404,25.446,31079,73
E01000405,23.6112,28283,67
E01000406,21.7977,24981,59
E01000407,21.5174,24420,58
E01000408,27.4215,33555,79
E01000409,24.5267,29721,70
E01000410,31.9583,37400,88
E01000411,27.398,33533,79
E01000412,26.8742,32904,78
E01000413,29.8347,35858,85
E01000414,40.224,40963,97
E01000415,27.4993,33632,79
E01000416,25.1696,30693,72
E01000417,22.5226,26343,62
E01000418,27.6323,33784,80
E01000419,27.763,33912,80
E01000420,33.129,38164,90
E01000421,31.3542,36986,87
E01000422,19.6002,20389,48
E01000423,17.4986,15528,37
E01000424,20.3908,22093,52
E01000425,17.725,16055,38
E01000426,25.7084,31438,74
E01000427,23.925,28800,68
