area,chn1997,chn1998,chn1999,chn2000,chn2001,chn2002,chn2003,chn2004,chn2005,chn2006,chn2007,chn2008,chn2009,chn2010,chn2011,chn2012,chn2013,chn2014,chn2015,chn2016,chn2017,chn2018,chn2019,chn2020,chn2021,chn2022,chn2023
E07000211,0.723,0.711,0.694,0.680,0.663,0.638,0.616,0.594,0.571,0.546,0.522,0.502,0.484,0.469,0.449,0.421,0.395,0.378,0.360,0.340,0.306,0.255,0.221,0.197,0.153,0.098,0
E07000212,0.691,0.679,0.662,0.650,0.634,0.612,0.593,0.575,0.557,0.537,0.521,0.505,0.484,0.461,0.434,0.400,0.370,0.354,0.337,0.319,0.287,0.242,0.214,0.192,0.149,0.097,0
E07000213,0.758,0.747,0.732,0.721,0.706,0.684,0.665,0.647,0.629,0.610,0.593,0.576,0.558,0.541,0.520,0.492,0.467,0.451,0.427,0.402,0.359,0.299,0.264,0.236,0.182,0.116,0
E07000214,0.779,0.755,0.722,0.705,0.688,0.665,0.647,0.629,0.610,0.590,0.571,0.551,0.530,0.514,0.501,0.468,0.428,0.407,0.387,0.367,0.336,0.284,0.245,0.218,0.170,0.109,0
E07000215,0.690,0.675,0.656,0.642,0.624,0.600,0.583,0.570,0.553,0.533,0.513,0.490,0.460,0.431,0.403,0.364,0.329,0.309,0.290,0.271,0.235,0.187,0.162,0.142,0.107,0.067,0
E07000216,0.704,0.691,0.674,0.661,0.645,0.623,0.604,0.587,0.569,0.548,0.529,0.512,0.493,0.471,0.443,0.410,0.381,0.365,0.349,0.334,0.298,0.246,0.214,0.190,0.146,0.093,0
E07000217,0.730,0.720,0.705,0.692,0.677,0.657,0.639,0.621,0.600,0.574,0.552,0.533,0.516,0.500,0.481,0.453,0.427,0.412,0.395,0.380,0.350,0.304,0.274,0.251,0.205,0.139,0
E07000218,0.593,0.579,0.560,0.547,0.530,0.507,0.489,0.473,0.457,0.442,0.427,0.410,0.390,0.373,0.356,0.322,0.288,0.271,0.254,0.237,0.205,0.158,0.130,0.113,0.086,0.054,0
E07000219,0.623,0.609,0.590,0.576,0.559,0.535,0.516,0.499,0.482,0.464,0.447,0.427,0.404,0.386,0.370,0.337,0.301,0.284,0.265,0.246,0.216,0.177,0.154,0.135,0.101,0.064,0
E07000220,0.688,0.674,0.657,0.643,0.624,0.600,0.580,0.561,0.542,0.522,0.504,0.486,0.460,0.435,0.411,0.379,0.351,0.335,0.317,0.300,0.265,0.214,0.182,0.160,0.123,0.080,0
E07000221,0.744,0.716,0.685,0.665,0.646,0.624,0.604,0.586,0.567,0.549,0.533,0.516,0.497,0.476,0.447,0.411,0.383,0.367,0.350,0.333,0.295,0.236,0.197,0.172,0.134,0.085,0
E07000222,0.697,0.684,0.667,0.655,0.637,0.611,0.591,0.573,0.556,0.539,0.523,0.506,0.484,0.461,0.439,0.411,0.386,0.372,0.358,0.343,0.310,0.260,0.228,0.205,0.160,0.102,0
E07000223,0.739,0.724,0.704,0.690,0.673,0.652,0.633,0.614,0.596,0.575,0.557,0.538,0.516,0.497,0.475,0.442,0.411,0.392,0.368,0.343,0.305,0.247,0.207,0.183,0.144,0.094,0
E07000224,0.767,0.754,0.736,0.722,0.703,0.678,0.658,0.639,0.620,0.600,0.585,0.567,0.546,0.528,0.507,0.466,0.430,0.410,0.388,0.366,0.327,0.266,0.224,0.200,0.159,0.105,0
E07000225,0.734,0.723,0.701,0.680,0.664,0.643,0.624,0.606,0.589,0.570,0.553,0.534,0.512,0.487,0.450,0.407,0.376,0.360,0.341,0.322,0.282,0.220,0.181,0.159,0.123,0.078,0
